Date,Machine Turf,"Briquettes, Loose","Briquettes, Baled",Nuggets,House Coal,"Premium Coal, bulk","Premium Coal, bag","Standard Coal, bulk","Standard Coal, bag",Anthracite Peas,Standard Anthracite,Recxo,Phurnacite,Extracite,Grade A Anthracite,Coalite,"Ovoids (Low Smoke), bulk","Ovoids (Low Smoke), bag",Gas Oil (schedule),Gas Oil (discounted),Kerosene (schedule),Kerosene (discounted),Bulk L.P.G.,Bottled Butane,Bottled Propane 34kg,Bottled Propane 47kg,Natural Gas Standard Rate,Natural Gas Reducing 0 - 585 kWh,Natural Gas Reducing Rate next 585 kWh ,Natural Gas Reducing Rate over 1170 kWh ,Natural Gas Double Up Discount Rate,Natural Gas Economy Rate,Natural Gas Minisaver Rate,Natural Gas Supersaver Rate,Natural Gas New Standard Rate,Natural Gas Gas New Reducing Rate 0- 3490kWh,Natural Gas Gas New Reducing Rate >3490kWh,Price Directives Gas Band D1: <20 GJ per annum,Price Directives Gas Band D2: >=20 <200 GJ per annum,Price Directives Gas Band D3: >=200 GJ per annum,Price Directives Electricity Band DA: <1000 kWh per annum,"Price Directives Electricity Band DB: >=1000 <2,500 kWh per annum",Price Directives Electricity Band DC: >=2500 <5000 kWh per annum,"Price Directives Electricity Band DD: >=5000 <15,000 kWh per annum","Price Directives Electricity Band DE: >=15,000 kWh per annum",Electricity General Domestic Rate,Electricity Night Saver - Day,Electricity Night Saver - Night,Wood Pellets Bulk Delivery,Wood Pellets bagged,Wood -Briquettes,"Hardwood, Small Bag, 20% moisture, Collected","Softwood, Small Bag, 25% moisture, Collected","Hardwood, Full Pallet, 20% moisture, Delivered","Softwood, Full Pallet, 25% moisture, Delivered","Softwood, Bulk (loose),25% moisture, Delivered",Special Notes
1990-10-01,65.26,117.78,1.61,153.64,182.84,n/a,n/a,n/a,n/a,253.95,220.93,n/a,n/a,265.38,264.11,251.41,n/a,n/a,0.36,n/a,0.42,n/a,0.41,12.99,37.94,n/a,n/a,0.057,0.043,0.03,0.048,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.095,0.095,0.038,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1991-10-01,69.84,123.16,1.71,174.59,186.65,n/a,n/a,n/a,n/a,284.42,226.01,n/a,n/a,297.12,284.42,300.93,n/a,n/a,0.33,n/a,0.34,n/a,0.38,13.01,35.29,n/a,n/a,0.059,0.044,0.031,0.049,0.039,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.097,0.097,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1992-10-01,65,94.29,1.74,174.59,184.11,n/a,n/a,n/a,n/a,284.42,226.01,n/a,n/a,297.12,284.42,300.93,n/a,n/a,0.29,n/a,0.31,n/a,0.35,13.71,32.59,n/a,n/a,0.059,0.044,0.031,0.049,0.039,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.097,0.097,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1993-10-01,65,94.29,1.78,182.52,184.11,n/a,n/a,n/a,n/a,292.04,233.63,n/a,n/a,304.74,292.04,304.74,n/a,n/a,0.32,n/a,0.33,n/a,0.35,13.71,32.59,n/a,n/a,0.059,0.044,0.031,0.049,0.039,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.097,0.097,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1994-01-01,65,94.29,1.78,182.52,184.11,n/a,n/a,n/a,n/a,292.04,233.63,n/a,n/a,304.74,292.04,304.74,n/a,n/a,0.32,n/a,0.33,n/a,0.35,13.71,32.59,n/a,n/a,0.059,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.097,0.097,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1994-04-01,65,94.29,1.78,182.52,184.11,n/a,n/a,n/a,n/a,292.04,233.63,n/a,n/a,304.74,292.04,304.74,n/a,n/a,0.3,n/a,0.32,n/a,0.35,13.71,32.59,n/a,n/a,0.059,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.097,0.097,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1994-07-01,65,94.29,1.78,182.52,184.11,n/a,n/a,n/a,n/a,292.04,233.63,n/a,n/a,304.74,292.04,304.74,n/a,n/a,0.3,n/a,0.32,n/a,0.35,13.71,32.59,n/a,n/a,0.059,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.097,0.097,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1994-10-01,65,94.29,1.82,182.52,184.11,n/a,n/a,n/a,n/a,292.04,233.63,n/a,n/a,304.74,292.04,304.74,n/a,n/a,0.3,n/a,0.32,n/a,0.35,13.71,32.59,n/a,n/a,0.059,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.097,0.097,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1995-01-01,65,101.43,1.82,182.52,184.11,n/a,n/a,n/a,n/a,292.04,233.63,n/a,n/a,304.74,292.04,304.74,n/a,n/a,0.29,n/a,0.31,n/a,0.35,13.71,32.59,n/a,n/a,0.059,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.097,0.097,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1995-04-01,65,101.43,1.82,182.52,184.11,n/a,n/a,n/a,n/a,292.04,233.63,n/a,n/a,304.74,292.04,304.74,n/a,n/a,0.29,n/a,0.31,n/a,0.35,13.71,32.59,n/a,n/a,0.059,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.097,0.097,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1995-07-01,65,101.43,1.82,182.52,184.11,n/a,n/a,n/a,n/a,292.04,233.63,n/a,n/a,304.74,292.04,304.74,n/a,n/a,0.31,n/a,0.32,n/a,0.35,13.97,33.89,n/a,n/a,0.059,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.097,0.097,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1995-10-01,65,101.43,1.87,182.52,184.11,n/a,n/a,n/a,n/a,292.04,233.63,n/a,n/a,304.74,292.04,304.74,n/a,n/a,0.31,n/a,0.32,n/a,0.35,13.97,33.89,n/a,n/a,0.059,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.097,0.097,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1996-01-01,65,101.43,1.82,182.52,184.11,n/a,n/a,n/a,n/a,292.04,233.63,n/a,n/a,304.74,292.04,304.74,n/a,n/a,0.34,n/a,0.34,n/a,0.35,13.97,33.89,n/a,0.022,0.059,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.097,0.097,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1996-04-01,65,101.43,1.82,182.52,184.11,n/a,n/a,n/a,n/a,292.04,233.63,n/a,n/a,304.74,292.04,304.74,n/a,n/a,0.33,n/a,0.34,n/a,0.35,13.97,33.89,n/a,0.022,0.059,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.097,0.097,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1997-03-01,65,101.43,1.9,182.21,193,n/a,n/a,n/a,n/a,292.04,233.63,n/a,n/a,298.39,292.04,304.74,n/a,n/a,0.32,n/a,0.33,n/a,0.37,15.24,39.36,n/a,0.022,0.059,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,0.1,0.039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1997-10-01,65,101.43,1.9,184.11,193.64,n/a,n/a,n/a,n/a,262.84,233.63,n/a,n/a,281.25,256.49,266.64,n/a,n/a,0.28,n/a,0.3,n/a,0.37,15.24,36.63,n/a,0.022,0.059,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.101,0.101,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1998-04-02,65,101.43,1.9,183.26,198.4,n/a,n/a,n/a,n/a,262.84,215.86,n/a,n/a,281.25,248.87,266.64,n/a,n/a,0.28,n/a,0.3,n/a,0.36,15.24,37.78,n/a,0.022,0.059,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.101,0.101,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1999-04-01,65,101.43,1.9,183.26,n/a,209,n/a,184.32,n/a,n/a,215.86,n/a,n/a,n/a,248.87,n/a,242.04,n/a,0.27,n/a,0.29,n/a,0.34,15.24,37.78,n/a,0.022,0.058,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.101,0.101,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
1999-10-01,60,110,2.08,189.95,n/a,209,n/a,184.32,n/a,n/a,231.3,n/a,n/a,n/a,271.72,n/a,242.04,n/a,0.32,n/a,0.34,n/a,0.37,16.51,41.33,n/a,0.022,0.058,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.101,0.101,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"New coal types have been added to the comparison sheet: standard house coal, premium house coal and smokeless ovoids"
2000-06-01,60,110,2.08,189.95,n/a,209,n/a,184.32,n/a,n/a,231.3,n/a,n/a,n/a,271.72,n/a,242.04,n/a,0.37,n/a,0.4,n/a,0.39,16.51,42.66,n/a,0.022,0.058,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.101,0.101,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,LPG Rates apply to one supplier only.
2000-11-01,60,110,2.08,189.95,n/a,209,n/a,184.32,n/a,n/a,231.3,n/a,n/a,n/a,271.72,n/a,242.04,n/a,0.51,n/a,0.51,n/a,0.46,17.78,46.13,n/a,0.022,0.058,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.101,0.101,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No updated costs were supplied for Solid Fuels - costs recorded are for May 2000.
2001-08-01,62.85,117.13,2.29,203.84,n/a,241.67,n/a,219.86,n/a,n/a,262.68,n/a,n/a,n/a,301.25,n/a,257.03,n/a,0.48,n/a,0.49,n/a,0.49,17.78,46.13,n/a,0.022,0.058,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.101,0.101,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
2002-02-01,62.85,117.13,2.37,206.8,n/a,247.63,n/a,227.6,n/a,n/a,265.59,n/a,n/a,n/a,305,n/a,265,n/a,0.4,n/a,0.41,n/a,0.38,15.89,41.16,n/a,0.022,0.058,0.044,0.031,0.049,0.038,n/a,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.107,0.107,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
2003-02-01,65.41,125.2,2.6,220.06,n/a,258.79,n/a,239.02,n/a,n/a,289.47,n/a,n/a,n/a,326.99,n/a,281.38,n/a,0.38,n/a,0.38,n/a,0.45,18.6,47.7,n/a,0.022,0.059,0.044,0.031,n/a,0.039,n/a,0.03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.108,0.108,0.045,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
2003-04-01,65.41,125.2,2.6,220.06,n/a,258.79,n/a,239.02,n/a,n/a,289.47,n/a,n/a,n/a,326.99,n/a,281.38,n/a,0.49,n/a,0.49,n/a,0.48,18.76,49.2,n/a,0.025,0.064,0.048,0.034,n/a,n/a,n/a,0.032,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.122,0.122,0.052,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Double up discount and economy rates have been discontinued by Bord Gais. Oil prices reflect an exceptional international price increase during the Iraq war - prices moderated by mid April 2003.
2003-07-01,n/a,n/a,2.8,227.67,n/a,268.38,n/a,236.21,n/a,n/a,294.58,n/a,n/a,n/a,327.33,n/a,280.43,n/a,0.36,n/a,0.36,n/a,0.45,18.76,48.26,58.58,0.025,0.064,0.048,0.034,n/a,n/a,n/a,0.032,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.122,0.122,0.052,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Bottled Propane 47kg has been introduced this quarter. Prices for Machine Turf and Briquettes Loose have been discontinued.
2003-10-01,n/a,n/a,2.8,227.67,n/a,268.38,n/a,236.21,n/a,n/a,294.58,n/a,n/a,n/a,327.33,n/a,280.43,n/a,0.37,n/a,0.38,n/a,0.45,18.75,48.24,58.58,0.025,0.064,0.048,0.034,n/a,n/a,n/a,0.032,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.122,0.122,0.052,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
2004-01-01,n/a,n/a,2.8,227.67,n/a,268.38,n/a,236.21,n/a,n/a,294.58,n/a,n/a,n/a,327.33,n/a,280.43,n/a,0.38,n/a,0.39,n/a,0.45,18.75,48.26,58.58,0.025,0.064,0.048,0.034,n/a,n/a,n/a,0.032,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.126,0.126,0.056,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Prices for Machine Turf and Briquettes Loose have been discontinued.
2004-04-01,n/a,n/a,2.8,227.67,n/a,268.38,n/a,236.21,n/a,n/a,294.58,n/a,n/a,n/a,327.33,n/a,280.43,n/a,0.39,n/a,0.39,n/a,0.45,18.75,48.26,58.58,0.025,0.064,0.048,0.034,n/a,0.042,n/a,0.032,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.126,0.126,0.056,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Economy rate reintroduced by Bord Gais. No updated costs have been received for Solid Fuels - costs recorded are for July 2003.
2004-07-01,n/a,n/a,3,225.88,n/a,258.63,n/a,236.21,n/a,n/a,298.04,n/a,n/a,n/a,337.32,n/a,285.43,n/a,0.44,n/a,0.44,n/a,0.48,20.62,53.76,74.42,0.025,0.064,0.048,0.034,n/a,0.042,n/a,0.032,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.126,0.126,0.056,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
2004-10-01,n/a,n/a,3.13,225.88,n/a,258.63,n/a,236.21,n/a,n/a,298.04,n/a,n/a,n/a,337.32,n/a,285.43,n/a,0.48,n/a,0.49,n/a,0.52,20.62,53.76,74.42,0.027,0.071,0.054,0.038,n/a,0.047,n/a,0.036,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.138,0.138,0.061,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,New tariffs for Bord Gais and ESB.  No update received for Coal prices this quarter.
2005-01-01,n/a,n/a,3.13,225.88,n/a,258.63,n/a,236.21,n/a,n/a,298.04,n/a,n/a,n/a,337.32,n/a,285.43,n/a,0.45,n/a,0.46,n/a,0.53,21.37,56.4,78.06,0.027,0.071,0.054,0.038,n/a,0.047,n/a,0.036,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.138,0.138,0.062,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
2005-04-01,n/a,n/a,3,225.88,n/a,258.63,n/a,236.21,n/a,n/a,298.04,n/a,n/a,n/a,337.32,n/a,285.43,n/a,0.53,n/a,0.54,n/a,0.51,21.45,56.5,78.2,0.027,0.071,0.054,0.038,n/a,0.047,n/a,0.036,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.138,0.138,0.062,0.2,n/a,0.38,n/a,n/a,n/a,n/a,n/a,Wood figures are from jan 05
